TIMES,BSSID,SSID,RSSI,Channel,Txbytes
34,083653545687,NAP840---TEST1,56,1,35872
34,0810112233a1,NAP840---TEST2,44,1,6136
35,0810178196c1,NAP840---TEST4,80,1,37996
35,0810112233a1,NAP840---TEST2,44,1,6608
35,083653545687,NAP840---TEST1,60,1,31388
35,081079d748a1,NAP840---TEST3,40,1,236
36,0810178196c1,NAP840---TEST4,80,1,38940
36,0810112233a1,NAP840---TEST2,44,1,4956
36,083653545687,NAP840---TEST1,60,1,33984
37,0810178196c1,NAP840---TEST4,80,1,30680
37,0810112233a1,NAP840---TEST2,44,1,4248
37,083653545687,NAP840---TEST1,56,1,26432
37,081079d748a1,NAP840---TEST3,40,1,1652
38,083653545687,NAP840---TEST1,60,1,28320
38,0810178196c1,NAP840---TEST4,84,1,31860
38,0810112233a1,NAP840---TEST2,36,1,1888
38,081079d748a1,NAP840---TEST3,44,1,2360
39,083653545687,NAP840---TEST1,60,1,30916
39,0810178196c1,NAP840---TEST4,80,1,28084
39,081079d748a1,NAP840---TEST3,40,1,944
39,0810112233a1,NAP840---TEST2,48,1,1652
40,0810178196c1,NAP840---TEST4,52,1,27140
40,081079d748a1,NAP840---TEST3,40,1,1652
40,083653545687,NAP840---TEST1,60,1,26196
40,0810112233a1,NAP840---TEST2,36,1,2124
41,0810178196c1,NAP840---TEST4,80,1,30680
41,0810112233a1,NAP840---TEST2,44,1,944
41,083653545687,NAP840---TEST1,60,1,29500
41,081079d748a1,NAP840---TEST3,44,1,1180
42,083653545687,NAP840---TEST1,60,1,29500
42,0810178196c1,NAP840---TEST4,80,1,27140
42,081079d748a1,NAP840---TEST3,40,1,2124
42,0810112233a1,NAP840---TEST2,48,1,1888
43,0810178196c1,NAP840---TEST4,80,1,28084
43,083653545687,NAP840---TEST1,60,1,28792
43,081079d748a1,NAP840---TEST3,44,1,1416
43,0810112233a1,NAP840---TEST2,48,1,2832
44,083653545687,NAP840---TEST1,56,1,26904
44,0810178196c1,NAP840---TEST4,80,1,26196
44,081079d748a1,NAP840---TEST3,36,1,2596
44,0810112233a1,NAP840---TEST2,36,1,2360
45,083653545687,NAP840---TEST1,52,1,28792
45,0810178196c1,NAP840---TEST4,80,1,26432
45,081079d748a1,NAP840---TEST3,40,1,2124
45,0810112233a1,NAP840---TEST2,44,1,2360
46,0810178196c1,NAP840---TEST4,48,1,28320
46,083653545687,NAP840---TEST1,60,1,30680
46,081079d748a1,NAP840---TEST3,40,1,1180
46,0810112233a1,NAP840---TEST2,40,1,3304
47,0810112233a1,NAP840---TEST2,44,1,1652
47,0810178196c1,NAP840---TEST4,80,1,28556
47,083653545687,NAP840---TEST1,60,1,26432
47,081079d748a1,NAP840---TEST3,40,1,1888
48,081079d748a1,NAP840---TEST3,40,1,1888
48,083653545687,NAP840---TEST1,60,1,26668
48,0810178196c1,NAP840---TEST4,84,1,28556
48,0810112233a1,NAP840---TEST2,36,1,1888
49,0810178196c1,NAP840---TEST4,80,1,25252
49,083653545687,NAP840---TEST1,60,1,24780
49,0810112233a1,NAP840---TEST2,44,1,3304
49,081079d748a1,NAP840---TEST3,44,1,1180
50,083653545687,NAP840---TEST1,60,1,23364
50,0810178196c1,NAP840---TEST4,80,1,26668
50,0810112233a1,NAP840---TEST2,40,1,3304
50,081079d748a1,NAP840---TEST3,40,1,944
